gene_id,gene_name,cluster_id
ENSG00000116459.11,ATP5PB,19
ENSG00000116473.15,RAP1A,13
ENSG00000116580.20,GON4L,14
ENSG00000116663.11,FBXO6,6
ENSG00000116679.16,IVNS1ABP,12
ENSG00000116685.16,KIAA2013,2
ENSG00000116750.14,UCHL5,1
ENSG00000116754.14,SRSF11,12
ENSG00000116857.17,TMEM9,1
ENSG00000116918.15,TSNAX,9
ENSG00000116922.15,C1orf109,13
ENSG00000116984.15,MTR,12
ENSG00000117155.17,SSX2IP,1
ENSG00000117280.13,RAB29,9
ENSG00000117394.24,SLC2A1,9
ENSG00000117481.11,NSUN4,13
ENSG00000117505.13,DR1,14
ENSG00000117543.22,DPH5,13
ENSG00000117592.9,PRDX6,16
ENSG00000117597.18,UTP25,13
ENSG00000117614.10,SYF2,3
ENSG00000117620.15,SLC35A3,9
ENSG00000117640.18,MTFR1L,1
ENSG00000117691.10,NENF,9
ENSG00000117713.21,ARID1A,1
ENSG00000117724.14,CENPF,9
ENSG00000117868.18,ESYT2,13
ENSG00000117877.11,POLR1G,13
ENSG00000117906.14,RCN2,9
ENSG00000118046.17,STK11,8
ENSG00000118058.24,KMT2A,1
ENSG00000118246.14,FASTKD2,14
ENSG00000118260.15,CREB1,13
ENSG00000118363.13,SPCS2,16
ENSG00000118418.14,HMGN3,3
ENSG00000118482.12,PHF3,13
ENSG00000118513.20,MYB,9
ENSG00000118579.13,MED28,13
ENSG00000118620.13,ZNF430,12
ENSG00000118689.15,FOXO3,9
ENSG00000118707.11,TGIF2,9
ENSG00000118816.11,CCNI,1
ENSG00000118855.21,MFSD1,9
ENSG00000118873.17,RAB3GAP2,1
ENSG00000118971.9,CCND2,2
ENSG00000119004.17,CYP20A1,11
ENSG00000119041.11,GTF3C3,1
ENSG00000119231.11,SENP5,1
ENSG00000119285.11,HEATR1,14
ENSG00000119314.16,PTBP3,2
ENSG00000119335.18,SET,10
ENSG00000119396.11,RAB14,1
ENSG00000119414.12,PPP6C,3
ENSG00000119446.14,RBM18,1
ENSG00000119471.15,HSDL2,1
ENSG00000119487.17,MAPKAP1,2
ENSG00000119661.15,DNAL1,9
ENSG00000119707.14,RBM25,13
ENSG00000119772.19,DNMT3A,13
ENSG00000119787.14,ATL2,13
ENSG00000119820.11,YIPF4,13
ENSG00000119906.13,SLF2,9
ENSG00000119912.18,IDE,4
ENSG00000119953.14,SMNDC1,1
ENSG00000120053.12,GOT1,1
ENSG00000120137.7,PANK3,1
ENSG00000120253.14,NUP43,3
ENSG00000120334.16,CENPL,14
ENSG00000120526.12,NUDCD1,1
ENSG00000120539.15,MASTL,13
ENSG00000120616.16,EPC1,9
ENSG00000120656.14,TAF12,12
ENSG00000120686.12,UFM1,10
ENSG00000120690.16,ELF1,13
ENSG00000120705.13,ETF1,1
ENSG00000120727.13,PAIP2,7
ENSG00000120738.8,EGR1,13
ENSG00000120742.11,SERP1,7
ENSG00000120802.14,TMPO,18
ENSG00000120805.14,ARL1,1
ENSG00000120833.14,SOCS2,13
ENSG00000120837.8,NFYB,13
ENSG00000120992.18,LYPLA1,9
ENSG00000121067.19,SPOP,9
ENSG00000121152.10,NCAPH,4
ENSG00000121481.11,RNF2,2
ENSG00000121486.12,TRMT1L,1
ENSG00000121579.14,"NAA50",3
ENSG00000121644.19,DESI2,9
ENSG00000121766.16,ZCCHC17,13
ENSG00000121851.13,POLR3GL,12
ENSG00000121864.10,ZNF639,14
ENSG00000121892.15,PDS5A,1
ENSG00000122068.13,FYTTD1,1
ENSG00000122203.15,KIAA1191,13
ENSG00000122218.16,COPA,12
ENSG00000122378.14,PRXL2A,9
ENSG00000122417.15,ODF2L,9
ENSG00000122435.11,TRMT13,9
ENSG00000122484.9,RPAP2,17
ENSG00000122545.21,SEPTIN7,1
ENSG00000122565.19,CBX3,7
ENSG00000122643.23,NT5C3A,9
ENSG00000122692.9,SMU1,13
ENSG00000122779.18,TRIM24,13
ENSG00000122873.12,CISD1,13
ENSG00000122958.15,VPS26A,12
ENSG00000123066.9,MED13L,13
ENSG00000123200.17,ZC3H13,2
ENSG00000123219.13,CENPK,9
ENSG00000123353.10,ORMDL2,14
ENSG00000123374.11,CDK2,13
ENSG00000123505.19,AMD1,13
ENSG00000123684.13,LPGAT1,9
ENSG00000123739.11,PLA2G12A,14
ENSG00000123908.12,AGO2,13
ENSG00000123933.17,MXD4,3
ENSG00000123983.15,ACSL3,2
ENSG00000123992.20,DNPEP,4
ENSG00000124098.10,FAM210B,10
ENSG00000124151.19,NCOA3,13
ENSG00000124164.16,VAPB,12
ENSG00000124172.10,ATP5F1E,9
ENSG00000124222.22,STX16,13
ENSG00000124226.11,RNF114,10
ENSG00000124357.13,"NAGK",9
ENSG00000124444.16,ZNF576,4
ENSG00000124486.14,USP9X,13
ENSG00000124532.15,MRS2,9
ENSG00000124571.18,XPO5,10
ENSG00000124659.7,TBCC,9
ENSG00000124766.7,SOX4,13
ENSG00000124767.7,GLO1,1
ENSG00000124782.21,RREB1,1
ENSG00000124789.12,NUP153,13
ENSG00000125107.19,CNOT1,14
ENSG00000125257.16,ABCC4,12
ENSG00000125304.10,TM9SF2,1
ENSG00000125354.24,SEPTIN6,9
ENSG00000125484.12,GTF3C4,1
ENSG00000125629.16,INSIG2,14
ENSG00000125630.16,POLR1B,9
ENSG00000125651.14,GTF2F1,6
ENSG00000125676.20,THOC2,9
ENSG00000125753.14,VASP,1
ENSG00000125821.13,DTD1,15
ENSG00000125868.16,DSTN,1
ENSG00000125885.13,MCM8,13
ENSG00000126003.7,PLAGL2,13
ENSG00000126070.20,AGO3,13
ENSG00000126091.21,ST3GAL3,12
ENSG00000126261.13,UBA2,12
ENSG00000126522.17,ASL,14
ENSG00000126581.13,BECN1,13
ENSG00000126653.18,NSRP1,13
ENSG00000126882.13,FAM78A,9
ENSG00000126883.18,NUP214,6
ENSG00000126953.8,TIMM8A,3
ENSG00000127022.16,CANX,9
ENSG00000127314.18,RAP1B,7
ENSG00000127463.16,EMC1,9
ENSG00000127511.10,SIN3B,13
ENSG00000127526.15,SLC35E1,9
ENSG00000127554.13,GFER,6
ENSG00000127603.32,MACF1,9
ENSG00000127884.5,ECHS1,19
ENSG00000127947.16,PTPN12,13
ENSG00000128050.9,PAICS,3
ENSG00000128059.8,PPAT,1
ENSG00000128581.17,IFT22,17
ENSG00000128595.17,CALU,1
ENSG00000128607.14,KLHDC10,2
ENSG00000128609.16,NDUFA5,7
ENSG00000128699.14,ORMDL1,17
ENSG00000128731.18,HERC2,2
ENSG00000128791.12,TWSG1,2
ENSG00000128805.15,ARHGAP22,12
ENSG00000128915.12,ICE2,9
ENSG00000128923.11,MINDY2,9
ENSG00000128944.14,KNSTRN,4
ENSG00000128989.11,ARPP19,5
ENSG00000129071.10,MBD4,14
ENSG00000129103.19,SUMF2,13
ENSG00000129128.13,SPCS3,2
ENSG00000129187.15,DCTD,1
